source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
110	110	1.00	0.000	source:	target:	Fatty acids and conjugates
1117	40	0.53	0.000	source:55,361,476,1103,1284,1425	target:451,8001,8211	Fatty acids and conjugates
1160	994	0.62	0.000	source:49	target:	Fatty acids and conjugates
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Fatty acids and conjugates
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Fatty acids and conjugates
121	39	0.55	0.000	source:1762,1770	target:1225,7918	Fatty acids and conjugates
127	127	1.00	0.000	source:	target:	Fatty acids and conjugates
1303	526	0.41	-15.995	source:359,450,1409,1760,6510	target:4736,6574	Fatty acids and conjugates
1320	781	0.41	-114.105	source:1240,1755,1756,1790,6510,7073,8211,8399	target:867,874,1099,5117	Fatty acids and conjugates
1378	169	0.47	0.036	source:497,1956,2601	target:469,490,521,1758,8581	Fatty acids and conjugates
1378	60	0.83	-0.000	source:	target:1817	Fatty acids and conjugates
1394	154	0.66	-0.000	source:	target:1762	Fatty acids and conjugates
1394	201	0.63	0.000	source:55,1069	target:	Fatty acids and conjugates
1443	1023	0.41	-98.073	source:55,469	target:	Fatty acids and conjugates
145	145	1.00	0.000	source:	target:	Fatty acids and conjugates
1466	516	0.42	2.016	source:944,8399	target:	Fatty acids and conjugates
1466	966	0.56	-0.002	source:944,974	target:	Fatty acids and conjugates
1508	1004	0.60	0.000	source:433,4844	target:	Fatty acids and conjugates
1582	229	0.62	-0.000	source:1240	target:1760,1766,8001,8211	Fatty acids and conjugates
1582	336	0.44	0.000	source:1240,1757,4800	target:1760,1766,1776,1778,6314,6351,7093,8001,8211	Fatty acids and conjugates
1593	1164	0.47	43.990	source:	target:	Fatty acids and conjugates
1614	1117	0.64	-0.000	source:	target:450,1425	Fatty acids and conjugates
1614	209	0.46	0.037	source:1433	target:490,874,1216,1217,1760,1766,5129,5130,5133,8001,8211	Fatty acids and conjugates
1614	40	0.53	-0.000	source:55,361,475,1790	target:1217,1760,1766,7356,8001,8211	Fatty acids and conjugates
169	156	0.65	-0.000	source:1766,8581	target:476,1220	Fatty acids and conjugates
1727	121	0.47	0.000	source:	target:4736	Fatty acids and conjugates
1727	182	0.68	0.000	source:55,475,521,1758,1762,1770,1778,1790	target:466,706,707,713,1236,1239,1304,4800,4801,6294	Fatty acids and conjugates
1727	356	0.43	-2.015	source:	target:1817,4736	Fatty acids and conjugates
1727	510	0.45	0.000	source:	target:4736	Fatty acids and conjugates
1727	610	0.45	-114.141	source:1026,1224,1756,1758,1762,1770,7073,8211	target:867,874,4816,4863	Fatty acids and conjugates
182	121	0.70	0.000	source:466,706,707,713,1236,1239,1304,4800,4801,6294	target:55,475,521,1758,1762,1770,1790,7882	Fatty acids and conjugates
182	39	0.86	0.000	source:	target:521,7918	Fatty acids and conjugates
1872	1872	1.00	0.000	source:	target:	Fatty acids and conjugates
1899	1117	0.52	-0.000	source:	target:1103	Fatty acids and conjugates
1899	1614	0.55	0.000	source:1217,1766	target:	Fatty acids and conjugates
1899	191	0.41	74.037	source:	target:37,359,490,499,514,1756,1902,1965,5130,5197,5423,6538,7552,7755,8211,8355	Fatty acids and conjugates
1899	213	0.46	0.036	source:2601,6237	target:490,521,5130	Fatty acids and conjugates
1899	40	0.76	-0.000	source:361,6237	target:497,8211	Fatty acids and conjugates
191	40	0.65	-74.037	source:37,359,361,415,499,513,514,867,1191,1902,1965,4816,4844,5197,5423,6237,6538,7552,7755,8355	target:	Fatty acids and conjugates
193	172	0.74	-0.000	source:	target:5137	Fatty acids and conjugates
193	40	0.42	0.984	source:55,77,78,361,445,469,517,519,521,813,866,868,1120,4810,5069,5148,5158,5290,7043	target:479,1760,1766,1776,1778,1809,1817,8001,8211	Fatty acids and conjugates
1950	1950	1.00	0.000	source:	target:	Fatty acids and conjugates
197	136	0.45	-28.031	source:	target:	Fatty acids and conjugates
201	154	0.64	-0.000	source:	target:1760,1766	Fatty acids and conjugates
2056	1164	0.47	43.990	source:55,521	target:479,874,1195	Fatty acids and conjugates
2056	1593	0.46	-0.000	source:	target:66,1195	Fatty acids and conjugates
207	201	0.43	2.016	source:	target:5138	Fatty acids and conjugates
209	40	0.41	-0.037	source:361,521,874,5133	target:451,497	Fatty acids and conjugates
2116	2116	1.00	0.000	source:	target:	Fatty acids and conjugates
213	209	0.54	0.000	source:	target:1760,8211	Fatty acids and conjugates
213	40	0.54	-0.036	source:361,469,521	target:492,497,1760,1817,2601,7356,8211	Fatty acids and conjugates
2154	2154	1.00	0.000	source:	target:	Fatty acids and conjugates
2158	867	0.46	-156.116	source:450,452,475,479,489,508,1195,1207,1217,1752,1760,1766,1776,1778,5120,5124,5127,5130,5135,6221,8001,8264	target:180,427,510,515,894,948,971,990,1099,1422,1707,1710,4777,4833,4863,6211,6219,6350,8428,8447	Fatty acids and conjugates
2206	2158	0.43	0.000	source:	target:	Fatty acids and conjugates
2206	309	0.42	-172.184	source:55,56,359,452,469,475,479,489,508,513,516,521,1109,1110,1207,1208,1217,1705,1752,1760,1766,1776,1778,1965,5114,5116,5117,5120,5124,5126,5127,5130,5135,5138,6294,6538,8001	target:497,1428,1498,1710,8428,8447	Fatty acids and conjugates
2225	1047	0.42	0.000	source:	target:1755,1790,7073	Fatty acids and conjugates
2247	2202	0.43	-0.000	source:1095,1770	target:66,513	Fatty acids and conjugates
226	226	1.00	0.000	source:	target:	Fatty acids and conjugates
2277	2277	1.00	0.000	source:	target:	Fatty acids and conjugates
2297	2297	1.00	0.000	source:	target:	Fatty acids and conjugates
2350	867	0.66	-0.000	source:	target:484	Fatty acids and conjugates
2391	570	0.48	-1.979	source:37,497	target:415,4844,5107	Fatty acids and conjugates
2406	2406	1.00	0.000	source:	target:	Fatty acids and conjugates
