source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1014	1014	1.00	0.000	source:	target:	Steroids and steroid derivatives
1222	1222	1.00	0.000	source:	target:	Steroids and steroid derivatives
1267	1267	1.00	0.000	source:	target:	Steroids and steroid derivatives
1485	1485	1.00	0.000	source:	target:	Steroids and steroid derivatives
1982	1982	1.00	0.000	source:	target:	Steroids and steroid derivatives
2123	2123	1.00	0.000	source:	target:	Steroids and steroid derivatives
2170	2170	1.00	0.000	source:	target:	Steroids and steroid derivatives
2205	2205	1.00	0.000	source:	target:	Steroids and steroid derivatives
2456	2456	1.00	0.000	source:	target:	Steroids and steroid derivatives
2514	2514	1.00	0.000	source:	target:	Steroids and steroid derivatives
2672	1725	0.45	0.000	source:	target:	Steroids and steroid derivatives
2808	2808	1.00	0.000	source:	target:	Steroids and steroid derivatives
2886	2886	1.00	0.000	source:	target:	Steroids and steroid derivatives
2988	2988	1.00	0.000	source:	target:	Steroids and steroid derivatives
3021	3021	1.00	0.000	source:	target:	Steroids and steroid derivatives
3093	3093	1.00	0.000	source:	target:	Steroids and steroid derivatives
3178	3178	1.00	0.000	source:	target:	Steroids and steroid derivatives
3186	3186	1.00	0.000	source:	target:	Steroids and steroid derivatives
3262	3262	1.00	0.000	source:	target:	Steroids and steroid derivatives
383	383	1.00	0.000	source:	target:	Steroids and steroid derivatives
3891	3891	1.00	0.000	source:	target:	Steroids and steroid derivatives
4251	4251	1.00	0.000	source:	target:	Steroids and steroid derivatives
4284	4284	1.00	0.000	source:	target:	Steroids and steroid derivatives
4593	4593	1.00	0.000	source:	target:	Steroids and steroid derivatives
4627	4627	1.00	0.000	source:	target:	Steroids and steroid derivatives
4735	2578	0.43	-2.015	source:	target:721,734,1325,1346,4796,8427	Steroids and steroid derivatives
4837	4836	0.42	2.016	source:	target:	Steroids and steroid derivatives
1659	1659	1	0	null	null	Steroids and steroid derivatives
2998	2998	1	0	null	null	Steroids and steroid derivatives
4272	4272	1	0	null	null	Steroids and steroid derivatives
11	11	1	0	null	null	Steroids and steroid derivatives
4385	4385	1	0	null	null	Steroids and steroid derivatives
4386	4386	1	0	null	null	Steroids and steroid derivatives
