source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	1129	1.00	0.000	source:	target:	Phosphate esters
1271	1271	1.00	0.000	source:	target:	Phosphate esters
1276	1276	1.00	0.000	source:	target:	Phosphate esters
1432	1432	1.00	0.000	source:	target:	Phosphate esters
1526	1526	1.00	0.000	source:	target:	Phosphate esters
1658	1658	1.00	0.000	source:	target:	Phosphate esters
1690	1690	1.00	0.000	source:	target:	Phosphate esters
1878	1878	1.00	0.000	source:	target:	Phosphate esters
1942	1942	1.00	0.000	source:	target:	Phosphate esters
20	20	1.00	0.000	source:	target:	Phosphate esters
2082	2082	1.00	0.000	source:	target:	Phosphate esters
2155	2155	1.00	0.000	source:	target:	Phosphate esters
2274	2274	1.00	0.000	source:	target:	Phosphate esters
234	234	1.00	0.000	source:	target:	Phosphate esters
2361	2361	1.00	0.000	source:	target:	Phosphate esters
2543	2543	1.00	0.000	source:	target:	Phosphate esters
2585	2585	1.00	0.000	source:	target:	Phosphate esters
2719	2719	1.00	0.000	source:	target:	Phosphate esters
2789	2789	1.00	0.000	source:	target:	Phosphate esters
2834	2834	1.00	0.000	source:	target:	Phosphate esters
2954	1544	0.52	0.000	source:3956	target:	Phosphate esters
2972	2972	1.00	0.000	source:	target:	Phosphate esters
3111	3111	1.00	0.000	source:	target:	Phosphate esters
326	326	1.00	0.000	source:	target:	Phosphate esters
3475	3475	1.00	0.000	source:	target:	Phosphate esters
3591	3591	1.00	0.000	source:	target:	Phosphate esters
3864	3864	1.00	0.000	source:	target:	Phosphate esters
3868	3868	1.00	0.000	source:	target:	Phosphate esters
418	418	1.00	0.000	source:	target:	Phosphate esters
4316	4316	1.00	0.000	source:	target:	Phosphate esters
4375	4375	1.00	0.000	source:	target:	Phosphate esters
4376	4376	1.00	0.000	source:	target:	Phosphate esters
4397	4397	1.00	0.000	source:	target:	Phosphate esters
4427	4427	1.00	0.000	source:	target:	Phosphate esters
4484	4484	1.00	0.000	source:	target:	Phosphate esters
4549	4549	1.00	0.000	source:	target:	Phosphate esters
4614	4614	1.00	0.000	source:	target:	Phosphate esters
4755	4755	1.00	0.000	source:	target:	Phosphate esters
4855	1413	0.53	-142.136	source:2,50,359,1109,1331,1428,1708,4081,4818,5117,5127,5198,5214,5367,6238,7854,8206,8212,8428,8447,8607	target:4836	Phosphate esters
4870	4870	1.00	0.000	source:	target:	Phosphate esters
54	54	1.00	0.000	source:	target:	Phosphate esters
55	55	1.00	0.000	source:	target:	Phosphate esters
558	558	1.00	0.000	source:	target:	Phosphate esters
652	652	1.00	0.000	source:	target:	Phosphate esters
763	763	1.00	0.000	source:	target:	Phosphate esters
3195	3195	1	0	null	null	Phosphate esters
1043	1043	1	0	null	null	Phosphate esters
4161	4161	1	0	null	null	Phosphate esters
2232	2232	1	0	null	null	Phosphate esters
1433	1433	1	0	null	null	Phosphate esters
2788	2788	1	0	null	null	Phosphate esters
1920	1920	1	0	null	null	Phosphate esters
36	36	1	0	null	null	Phosphate esters
38	38	1	0	null	null	Phosphate esters
894	894	1	0	null	null	Phosphate esters
58	58	1	0	null	null	Phosphate esters
3286	3286	1	0	null	null	Phosphate esters
2492	2492	1	0	null	null	Phosphate esters
1170	1170	1	0	null	null	Phosphate esters
2973	2973	1	0	null	null	Phosphate esters
2137	2137	1	0	null	null	Phosphate esters
3934	3934	1	0	null	null	Phosphate esters
1884	1884	1	0	null	null	Phosphate esters
770	770	1	0	null	null	Phosphate esters
779	779	1	0	null	null	Phosphate esters
