source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1004	184	0.70	-0.000	source:1433,5062	target:	Hydroxy fatty acids
1160	994	0.62	0.000	source:49	target:	Hydroxy fatty acids
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Hydroxy fatty acids
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Hydroxy fatty acids
121	39	0.55	0.000	source:1762,1770	target:1225,7918	Hydroxy fatty acids
1320	781	0.41	-114.105	source:1240,1755,1756,1790,6510,7073,8211,8399	target:867,874,1099,5117	Hydroxy fatty acids
1364	781	0.96	-0.000	source:	target:	Hydroxy fatty acids
1394	154	0.66	-0.000	source:	target:1762	Hydroxy fatty acids
1394	201	0.63	0.000	source:55,1069	target:	Hydroxy fatty acids
145	145	1.00	0.000	source:	target:	Hydroxy fatty acids
1508	1004	0.60	0.000	source:433,4844	target:	Hydroxy fatty acids
1508	184	0.68	0.000	source:415,1428,1433,1710,4844,5062,8447	target:	Hydroxy fatty acids
1568	1158	0.49	0.000	source:	target:	Hydroxy fatty acids
1582	336	0.44	0.000	source:1240,1757,4800	target:1760,1766,1776,1778,6314,6351,7093,8001,8211	Hydroxy fatty acids
169	156	0.65	-0.000	source:1766,8581	target:476,1220	Hydroxy fatty acids
1727	121	0.47	0.000	source:	target:4736	Hydroxy fatty acids
1727	182	0.68	0.000	source:55,475,521,1758,1762,1770,1778,1790	target:466,706,707,713,1236,1239,1304,4800,4801,6294	Hydroxy fatty acids
1727	356	0.43	-2.015	source:	target:1817,4736	Hydroxy fatty acids
1727	510	0.45	0.000	source:	target:4736	Hydroxy fatty acids
1727	610	0.45	-114.141	source:1026,1224,1756,1758,1762,1770,7073,8211	target:867,874,4816,4863	Hydroxy fatty acids
1752	1158	0.47	-0.000	source:	target:	Hydroxy fatty acids
1752	1568	0.77	-0.000	source:	target:	Hydroxy fatty acids
1794	867	0.42	-200.179	source:33,414,450,452,469,475,479,489,508,720,1026,1103,1167,1207,1216,1217,1224,1229,1240,1331,1755,1756,5107,5120,5124,5127,5130,5135,8405	target:2,180,427,433,510,515,894,948,971,990,1707,1710,4736,4833,4863,6211,6219,6350,8428,8447	Hydroxy fatty acids
1818	1394	0.81	-0.000	source:7900	target:55,469,521	Hydroxy fatty acids
1818	154	0.82	-0.000	source:7900	target:469,476,477,1766	Hydroxy fatty acids
1818	201	0.93	0.000	source:	target:469	Hydroxy fatty acids
182	121	0.70	0.000	source:466,706,707,713,1236,1239,1304,4800,4801,6294	target:55,475,521,1758,1762,1770,1790,7882	Hydroxy fatty acids
182	39	0.86	0.000	source:	target:521,7918	Hydroxy fatty acids
197	136	0.45	-28.031	source:	target:	Hydroxy fatty acids
201	154	0.64	-0.000	source:	target:1760,1766	Hydroxy fatty acids
2056	1593	0.46	-0.000	source:	target:66,1195	Hydroxy fatty acids
2098	1110	0.43	0.000	source:521	target:	Hydroxy fatty acids
2116	2116	1.00	0.000	source:	target:	Hydroxy fatty acids
2130	2130	1.00	0.000	source:	target:	Hydroxy fatty acids
213	209	0.54	0.000	source:	target:1760,8211	Hydroxy fatty acids
2154	2154	1.00	0.000	source:	target:	Hydroxy fatty acids
2158	867	0.46	-156.116	source:450,452,475,479,489,508,1195,1207,1217,1752,1760,1766,1776,1778,5120,5124,5127,5130,5135,6221,8001,8264	target:180,427,510,515,894,948,971,990,1099,1422,1707,1710,4777,4833,4863,6211,6219,6350,8428,8447	Hydroxy fatty acids
2206	2158	0.43	0.000	source:	target:	Hydroxy fatty acids
2247	2202	0.43	-0.000	source:1095,1770	target:66,513	Hydroxy fatty acids
2277	2277	1.00	0.000	source:	target:	Hydroxy fatty acids
2297	2297	1.00	0.000	source:	target:	Hydroxy fatty acids
2350	1599	0.42	58.006	source:510	target:37,57,450,452,477,484,1109,1167,1209,1218,1410,1706,4783,4807,5197	Hydroxy fatty acids
2350	1752	0.41	170.095	source:4833,6211	target:37,56,57,450,452,469,484,508,1109,1167,1410,1706,3956,4783,4807,5117,5120,5127,5135,5197	Hydroxy fatty acids
2350	867	0.66	-0.000	source:	target:484	Hydroxy fatty acids
2356	2356	1.00	0.000	source:	target:	Hydroxy fatty acids
2452	1434	0.61	-0.000	source:	target:	Hydroxy fatty acids
