source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1015	240	0.63	2.016	source:418,457	target:180,1159,1310,1708,4083,4558,5001,5124,5903,6165,6211,6595,6696,7021,7105,7153,7707,7737,7959,8248,8607,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1015	257	0.53	2.016	source:418,457,516,1284,5112	target:50,59,139,180,1310,1331,1433,1534,1541,1708,2835,4081,4083,4558,4818,4848,5001,5379,6165,6211,6432,6595,6696,7021,7105,7153,7707,7737,7959,8248,8316,8412,8447,8607,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1015	293	0.42	164.047	source:418,1220,5112	target:55,59,139,341,357,476,486,721,1169,1242,1331,1428,1433,1480,1534,1541,4083,4418,4558,4818,4848,5001,5124,5379,5903,6165,6211,6218,6219,6281,6595,6696,6875,6916,7008,7021,7044,7105,7153,7480,7659,7707,7737,7959,8206,8248,8303,8316,8406,8412,8447,8448,8607,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1015	316	0.41	2.016	source:457,5112	target:50,59,139,180,1310,1331,1428,1433,1534,1708,2835,4081,4083,4818,4848,5001,5124,5379,5903,6165,6211,6219,6696,6916,7105,7153,7707,7959,8248,8316,8434,8447,8607,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1015	416	0.42	164.047	source:418,1212,1220,5112	target:30,55,59,139,180,341,486,721,1169,1242,1305,1331,1433,1534,1541,1708,2565,2816,2835,4083,4558,4848,5001,5124,5379,6160,6165,6211,6218,6219,6281,6393,6595,6696,6875,6916,7021,7105,7153,7707,7737,7959,8248,8316,8406,8434,8447,8607,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1015	509	0.43	378.092	source:457,5068	target:55,469,470,476,477,481,486,521,709,721,727,734,968,2055,2062,4835,5118,6103,7755	1-hydroxy-2-unsubstituted benzenoids
1015	598	0.42	186.029	source:457,473,1109,1220,4777,5067,5068,5112	target:55,459,476,486,721,1227,1240,1422,6160,7021,7105,7153,7707,7959,8248,8280,8295,8327,8406	1-hydroxy-2-unsubstituted benzenoids
1015	846	0.44	2.016	source:189,418,457,508,516,1212,1284,5112	target:50,59,139,180,487,1169,1310,1331,1433,1480,1534,1541,1708,2816,2835,4081,4083,4558,4818,4848,5001,5124,5136,5139,5146,5214,5367,5379,5903,6165,6211,6219,6238,6432,6595,6696,6875,6916,7006,7021,7044,7105,7153,7659,7707,7737,7959,8206,8248,8316,8406,8412,8434,8447,8448,8607,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1017	1017	1.00	0.000	source:	target:	1-hydroxy-2-unsubstituted benzenoids
1026	373	0.60	-0.000	source:329,459,470,514,1229,3181,7687	target:980,1063,1107,1433,5062	1-hydroxy-2-unsubstituted benzenoids
1026	571	0.72	-0.000	source:329,459,7687	target:1433,5062	1-hydroxy-2-unsubstituted benzenoids
1026	808	0.61	-0.000	source:470,514	target:5014	1-hydroxy-2-unsubstituted benzenoids
1026	977	0.42	314.101	source:	target:25,31,36,50,57,128,139,335,336,337,451,452,476,493,508,707,720,875,1063,1228,1410,1695,2055,2062,3955,4081,4568,4777,4807,4835,4836,4844,4968,5014,5067,5068,5079,5100,5107,5109,5114,5117,5120,5135,5138,5145,5379,5423,6053,6221,6225,6580,6965,7089,7259,7303,7413,7569,7755,7760,7780,8083,8104,8243,8252,8270,8285,8421,8463,8469,8494,8521,8568,8605,8609,8657,8661,8684,8871	1-hydroxy-2-unsubstituted benzenoids
1058	1015	0.41	-164.068	source:55,117,335,336,337,459,470,476,521,709,875,1138,1189,1190,1422,1695,4568,4835,4836,4848,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:1107,1212,1220,1284,3061,5112	1-hydroxy-2-unsubstituted benzenoids
1058	240	0.45	-162.053	source:55,57,117,329,335,336,337,418,459,470,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:714,1107,1159,1310,2601,3061,4083,4558,4882,5001,5903,6165,6211,6595,7105,7737,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1058	416	0.47	-0.021	source:57,117,329,335,336,337,418,459,470,484,514,709,875,1138,1189,1190,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	target:139,341,486,714,721,785,884,1169,1305,2816,3061,4083,4558,4882,5001,5379,6165,6211,6219,6281,6393,6595,6875,6916,7105,7737,8316,8406,8434,8648,8723	1-hydroxy-2-unsubstituted benzenoids
1058	598	0.43	21.961	source:117,335,336,337,427,470,473,484,514,521,865,875,1138,1189,1695,2562,4568,4768,4777,4807,4835,5067,5068,5423,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:486,714,721,785,884,1227,3061,7105,8280,8295,8327,8406	1-hydroxy-2-unsubstituted benzenoids
1058	809	0.44	40.031	source:49,333,466,515,948,971	target:139,502,958,6731	1-hydroxy-2-unsubstituted benzenoids
1070	568	0.86	0.000	source:	target:1044,1242	1-hydroxy-2-unsubstituted benzenoids
1070	685	0.45	12.000	source:	target:	1-hydroxy-2-unsubstituted benzenoids
1070	771	0.77	0.000	source:	target:1044	1-hydroxy-2-unsubstituted benzenoids
1074	1015	0.41	-164.068	source:31,59,110,117,139,335,336,337,459,470,476,709,875,895,1138,1189,1190,1388,1534,1695,4083,4568,4835,4836,4848,5124,6696,7021,7089,7303,7413,7707,7959,8083,8248,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:189,1107,1212,1220,1226,1284,5112,6431	1-hydroxy-2-unsubstituted benzenoids
1074	1058	0.61	0.000	source:139,3061,4083	target:	1-hydroxy-2-unsubstituted benzenoids
