source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1038	1038	1.00	0.000	source:	target:	Amino acids and derivatives
1048	1048	1.00	0.000	source:	target:	Amino acids and derivatives
1052	1052	1.00	0.000	source:	target:	Amino acids and derivatives
1129	1129	1.00	0.000	source:	target:	Amino acids and derivatives
1136	1136	1.00	0.000	source:	target:	Amino acids and derivatives
1150	1150	1.00	0.000	source:	target:	Amino acids and derivatives
1210	1210	1.00	0.000	source:	target:	Amino acids and derivatives
1225	1225	1.00	0.000	source:	target:	Amino acids and derivatives
1230	1230	1.00	0.000	source:	target:	Amino acids and derivatives
1286	1286	1.00	0.000	source:	target:	Amino acids and derivatives
134	134	1.00	0.000	source:	target:	Amino acids and derivatives
140	140	1.00	0.000	source:	target:	Amino acids and derivatives
1430	1430	1.00	0.000	source:	target:	Amino acids and derivatives
1432	1432	1.00	0.000	source:	target:	Amino acids and derivatives
1450	1450	1.00	0.000	source:	target:	Amino acids and derivatives
1496	1496	1.00	0.000	source:	target:	Amino acids and derivatives
1513	1513	1.00	0.000	source:	target:	Amino acids and derivatives
16	16	1.00	0.000	source:	target:	Amino acids and derivatives
1640	1640	1.00	0.000	source:	target:	Amino acids and derivatives
1658	1658	1.00	0.000	source:	target:	Amino acids and derivatives
1705	1705	1.00	0.000	source:	target:	Amino acids and derivatives
1747	1747	1.00	0.000	source:	target:	Amino acids and derivatives
179	179	1.00	0.000	source:	target:	Amino acids and derivatives
1808	1808	1.00	0.000	source:	target:	Amino acids and derivatives
186	186	1.00	0.000	source:	target:	Amino acids and derivatives
1875	1875	1.00	0.000	source:	target:	Amino acids and derivatives
1879	1879	1.00	0.000	source:	target:	Amino acids and derivatives
1920	146	0.41	-33.818	source:300,409,430,463,467,473,491,935,939,6244,6499,6538,6924,7152,7755	target:117,336,337,481,875,1138,1189,1228,1433,4568,4810,5067,5117,5137,5334,7089,8083,8447,8521,8605,8661	Amino acids and derivatives
193	172	0.74	-0.000	source:	target:5137	Amino acids and derivatives
20	20	1.00	0.000	source:	target:	Amino acids and derivatives
202	202	1.00	0.000	source:	target:	Amino acids and derivatives
2082	2082	1.00	0.000	source:	target:	Amino acids and derivatives
2155	2155	1.00	0.000	source:	target:	Amino acids and derivatives
2214	2214	1.00	0.000	source:	target:	Amino acids and derivatives
2241	2241	1.00	0.000	source:	target:	Amino acids and derivatives
2307	2307	1.00	0.000	source:	target:	Amino acids and derivatives
2348	2348	1.00	0.000	source:	target:	Amino acids and derivatives
2359	2359	1.00	0.000	source:	target:	Amino acids and derivatives
2361	2361	1.00	0.000	source:	target:	Amino acids and derivatives
2535	2535	1.00	0.000	source:	target:	Amino acids and derivatives
2543	2543	1.00	0.000	source:	target:	Amino acids and derivatives
2580	2580	1.00	0.000	source:	target:	Amino acids and derivatives
2670	2670	1.00	0.000	source:	target:	Amino acids and derivatives
2719	2719	1.00	0.000	source:	target:	Amino acids and derivatives
2801	2801	1.00	0.000	source:	target:	Amino acids and derivatives
28	28	1.00	0.000	source:	target:	Amino acids and derivatives
29	29	1.00	0.000	source:	target:	Amino acids and derivatives
2931	2931	1.00	0.000	source:	target:	Amino acids and derivatives
295	295	1.00	0.000	source:	target:	Amino acids and derivatives
2971	2971	1.00	0.000	source:	target:	Amino acids and derivatives
3156	3156	1.00	0.000	source:	target:	Amino acids and derivatives
3165	3165	1.00	0.000	source:	target:	Amino acids and derivatives
326	326	1.00	0.000	source:	target:	Amino acids and derivatives
3279	3279	1.00	0.000	source:	target:	Amino acids and derivatives
3282	3282	1.00	0.000	source:	target:	Amino acids and derivatives
3	3	1.00	0.000	source:	target:	Amino acids and derivatives
34	34	1.00	0.000	source:	target:	Amino acids and derivatives
3517	3517	1.00	0.000	source:	target:	Amino acids and derivatives
3794	3794	1.00	0.000	source:	target:	Amino acids and derivatives
3868	3868	1.00	0.000	source:	target:	Amino acids and derivatives
3925	3925	1.00	0.000	source:	target:	Amino acids and derivatives
3934	146	0.42	-63.829	source:44,300,354,409,430,436,438,463,467,473,486,491,497,673,708,784,785,898,903,907,912,935,939,978,1098,1112,1140,1146,7755	target:27,31,117,336,337,443,875,1056,1138,1171,1189,1191,1228,1229,1708,1902,4568,4810,4835,4842,5067,5107,5117,5120,5135,5137,5138,5334,5354,7089,7569,8083,8447,8521,8605,8661	Amino acids and derivatives
418	418	1.00	0.000	source:	target:	Amino acids and derivatives
436	436	1.00	0.000	source:	target:	Amino acids and derivatives
4487	4487	1.00	0.000	source:	target:	Amino acids and derivatives
4716	4716	1.00	0.000	source:	target:	Amino acids and derivatives
4728	4728	1.00	0.000	source:	target:	Amino acids and derivatives
4875	4875	1.00	0.000	source:	target:	Amino acids and derivatives
519	519	1.00	0.000	source:	target:	Amino acids and derivatives
55	55	1.00	0.000	source:	target:	Amino acids and derivatives
652	652	1.00	0.000	source:	target:	Amino acids and derivatives
67	67	1.00	0.000	source:	target:	Amino acids and derivatives
747	747	1.00	0.000	source:	target:	Amino acids and derivatives
754	754	1.00	0.000	source:	target:	Amino acids and derivatives
78	78	1.00	0.000	source:	target:	Amino acids and derivatives
795	795	1.00	0.000	source:	target:	Amino acids and derivatives
80	80	1.00	0.000	source:	target:	Amino acids and derivatives
8	8	1.00	0.000	source:	target:	Amino acids and derivatives
91	91	1.00	0.000	source:	target:	Amino acids and derivatives
4541	4541	1	0	null	null	Amino acids and derivatives
4582	4582	1	0	null	null	Amino acids and derivatives
1609	1609	1	0	null	null	Amino acids and derivatives
4232	4232	1	0	null	null	Amino acids and derivatives
3416	3416	1	0	null	null	Amino acids and derivatives
3430	3430	1	0	null	null	Amino acids and derivatives
931	931	1	0	null	null	Amino acids and derivatives
1884	1884	1	0	null	null	Amino acids and derivatives
3609	3609	1	0	null	null	Amino acids and derivatives
3654	3654	1	0	null	null	Amino acids and derivatives
104	104	1	0	null	null	Amino acids and derivatives
2848	2848	1	0	null	null	Amino acids and derivatives
132	132	1	0	null	null	Amino acids and derivatives
1092	1092	1	0	null	null	Amino acids and derivatives
4653	4653	1	0	null	null	Amino acids and derivatives
1252	1252	1	0	null	null	Amino acids and derivatives
12	12	1	0	null	null	Amino acids and derivatives
3066	3066	1	0	null	null	Amino acids and derivatives
77	77	1	0	null	null	Amino acids and derivatives
2788	2788	1	0	null	null	Amino acids and derivatives
1471	1471	1	0	null	null	Amino acids and derivatives
