source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1008	239	0.15	-2.016	NA	NA	Iridoid O-glycosides
1008	241	0.17	-44.026	NA	NA	Iridoid O-glycosides
1008	277	0.11	-32.062	NA	NA	Iridoid O-glycosides
1008	279	0.19	-64.052	NA	NA	Iridoid O-glycosides
1008	292	0.11	-46.041	NA	NA	Iridoid O-glycosides
1008	311	0.14	-46.041	NA	NA	Iridoid O-glycosides
1008	313	0.12	100.016	NA	NA	Iridoid O-glycosides
1008	338	0.13	5.950	NA	NA	Iridoid O-glycosides
1008	347	0.11	-48.021	NA	NA	Iridoid O-glycosides
1008	426	0.11	100.016	NA	NA	Iridoid O-glycosides
1008	435	0.14	100.016	NA	NA	Iridoid O-glycosides
1008	456	0.15	-90.032	NA	NA	Iridoid O-glycosides
1008	461	0.30	90.010	NA	NA	Iridoid O-glycosides
1008	494	0.15	-62.037	NA	NA	Iridoid O-glycosides
1008	495	0.19	-48.021	NA	NA	Iridoid O-glycosides
1008	496	0.16	-60.021	NA	NA	Iridoid O-glycosides
1008	506	0.14	70.006	NA	NA	Iridoid O-glycosides
1008	512	0.12	-30.010	NA	NA	Iridoid O-glycosides
1008	552	0.26	120.021	NA	NA	Iridoid O-glycosides
1008	574	0.15	-18.046	NA	NA	Iridoid O-glycosides
1008	577	0.17	160.037	NA	NA	Iridoid O-glycosides
1008	592	0.13	-18.010	NA	NA	Iridoid O-glycosides
1008	597	0.19	-2.015	NA	NA	Iridoid O-glycosides
1008	614	0.19	70.006	NA	NA	Iridoid O-glycosides
1008	632	0.22	-32.026	NA	NA	Iridoid O-glycosides
1008	659	0.13	-44.026	NA	NA	Iridoid O-glycosides
1008	691	0.18	164.047	NA	NA	Iridoid O-glycosides
1008	695	0.12	-4.031	NA	NA	Iridoid O-glycosides
1008	710	0.31	13.980	NA	NA	Iridoid O-glycosides
1008	715	0.21	144.042	NA	NA	Iridoid O-glycosides
1008	744	0.12	-58.005	NA	NA	Iridoid O-glycosides
1008	749	0.22	266.043	NA	NA	Iridoid O-glycosides
1008	804	0.13	-74.036	NA	NA	Iridoid O-glycosides
1008	809	0.19	120.021	NA	NA	Iridoid O-glycosides
1008	835	0.22	120.021	NA	NA	Iridoid O-glycosides
1008	855	0.14	-30.010	NA	NA	Iridoid O-glycosides
1008	865	0.22	-48.057	NA	NA	Iridoid O-glycosides
1008	952	0.16	103.990	NA	NA	Iridoid O-glycosides
1008	958	0.25	99.995	NA	NA	Iridoid O-glycosides
1008	962	0.17	-32.026	NA	NA	Iridoid O-glycosides
1008	977	0.15	60.000	NA	NA	Iridoid O-glycosides
1008	991	0.22	-30.010	NA	NA	Iridoid O-glycosides
1016	233	0.25	-2.016	NA	NA	Iridoid O-glycosides
1016	241	0.11	15.995	NA	NA	Iridoid O-glycosides
1016	277	0.19	27.958	NA	NA	Iridoid O-glycosides
1016	279	0.22	-4.031	NA	NA	Iridoid O-glycosides
1016	281	0.20	13.980	NA	NA	Iridoid O-glycosides
1016	311	0.19	13.980	NA	NA	Iridoid O-glycosides
1016	313	0.22	160.037	NA	NA	Iridoid O-glycosides
1016	338	0.31	65.971	NA	NA	Iridoid O-glycosides
1016	347	0.20	12.000	NA	NA	Iridoid O-glycosides
1016	388	0.27	-0.011	NA	NA	Iridoid O-glycosides
1016	426	0.28	160.037	NA	NA	Iridoid O-glycosides
1016	435	0.20	160.037	NA	NA	Iridoid O-glycosides
1016	456	0.24	-30.011	NA	NA	Iridoid O-glycosides
1016	461	0.13	150.031	NA	NA	Iridoid O-glycosides
1016	494	0.26	-2.016	NA	NA	Iridoid O-glycosides
1016	496	0.23	0.000	NA	NA	Iridoid O-glycosides
1016	503	0.28	-2.016	NA	NA	Iridoid O-glycosides
1016	506	0.21	130.027	NA	NA	Iridoid O-glycosides
1016	512	0.17	30.010	NA	NA	Iridoid O-glycosides
1016	552	0.12	180.042	NA	NA	Iridoid O-glycosides
1016	562	0.25	111.068	NA	NA	Iridoid O-glycosides
1016	574	0.16	41.974	NA	NA	Iridoid O-glycosides
1016	577	0.20	220.058	NA	NA	Iridoid O-glycosides
1016	589	0.22	-12.000	NA	NA	Iridoid O-glycosides
1016	592	0.14	42.011	NA	NA	Iridoid O-glycosides
1016	597	0.16	58.005	NA	NA	Iridoid O-glycosides
1016	614	0.13	130.027	NA	NA	Iridoid O-glycosides
1016	624	0.30	13.980	NA	NA	Iridoid O-glycosides
1016	632	0.21	27.995	NA	NA	Iridoid O-glycosides
1016	659	0.21	15.995	NA	NA	Iridoid O-glycosides
1016	691	0.13	224.068	NA	NA	Iridoid O-glycosides
1016	695	0.30	55.989	NA	NA	Iridoid O-glycosides
1016	711	0.20	-27.995	NA	NA	Iridoid O-glycosides
1016	715	0.16	204.063	NA	NA	Iridoid O-glycosides
1016	744	0.22	2.016	NA	NA	Iridoid O-glycosides
1016	749	0.20	326.064	NA	NA	Iridoid O-glycosides
1016	766	0.20	-27.995	NA	NA	Iridoid O-glycosides
1016	804	0.22	-14.015	NA	NA	Iridoid O-glycosides
1016	809	0.11	180.042	NA	NA	Iridoid O-glycosides
1016	835	0.16	180.042	NA	NA	Iridoid O-glycosides
1016	855	0.25	30.010	NA	NA	Iridoid O-glycosides
1016	865	0.18	11.964	NA	NA	Iridoid O-glycosides
1016	952	0.13	164.011	NA	NA	Iridoid O-glycosides
1016	958	0.11	160.016	NA	NA	Iridoid O-glycosides
1016	962	0.19	27.995	NA	NA	Iridoid O-glycosides
1016	977	0.15	120.021	NA	NA	Iridoid O-glycosides
1016	991	0.18	30.010	NA	NA	Iridoid O-glycosides
1064	1008	0.12	44.028	NA	NA	Iridoid O-glycosides
1064	1016	0.24	-15.993	NA	NA	Iridoid O-glycosides
1064	233	0.37	-18.009	NA	NA	Iridoid O-glycosides
1064	239	0.12	42.012	NA	NA	Iridoid O-glycosides
1064	241	0.38	0.002	NA	NA	Iridoid O-glycosides
1064	277	0.21	11.966	NA	NA	Iridoid O-glycosides
1064	279	0.35	-20.024	NA	NA	Iridoid O-glycosides
1064	281	0.51	-2.013	NA	NA	Iridoid O-glycosides
1064	292	0.15	-2.013	NA	NA	Iridoid O-glycosides
1064	311	0.50	-2.013	NA	NA	Iridoid O-glycosides
1064	313	0.37	144.044	NA	NA	Iridoid O-glycosides
1064	338	0.35	49.979	NA	NA	Iridoid O-glycosides
1064	347	0.54	-3.993	NA	NA	Iridoid O-glycosides
1064	388	0.29	-16.004	NA	NA	Iridoid O-glycosides
1064	426	0.37	144.044	NA	NA	Iridoid O-glycosides
1064	435	0.39	144.044	NA	NA	Iridoid O-glycosides
1064	456	0.22	-46.003	NA	NA	Iridoid O-glycosides
1064	461	0.18	134.039	NA	NA	Iridoid O-glycosides
1064	494	0.44	-18.009	NA	NA	Iridoid O-glycosides
1064	495	0.21	-3.993	NA	NA	Iridoid O-glycosides
1064	496	0.33	-15.993	NA	NA	Iridoid O-glycosides
1064	503	0.23	-18.008	NA	NA	Iridoid O-glycosides
1064	506	0.31	114.034	NA	NA	Iridoid O-glycosides
1064	512	0.23	14.018	NA	NA	Iridoid O-glycosides
1064	552	0.21	164.049	NA	NA	Iridoid O-glycosides
1064	562	0.22	95.076	NA	NA	Iridoid O-glycosides
1064	574	0.27	25.982	NA	NA	Iridoid O-glycosides
1064	577	0.51	204.065	NA	NA	Iridoid O-glycosides
1064	589	0.33	-27.992	NA	NA	Iridoid O-glycosides
1064	592	0.20	26.018	NA	NA	Iridoid O-glycosides
1064	597	0.15	42.013	NA	NA	Iridoid O-glycosides
1064	614	0.20	114.034	NA	NA	Iridoid O-glycosides
1064	624	0.35	-2.013	NA	NA	Iridoid O-glycosides
1064	632	0.31	12.002	NA	NA	Iridoid O-glycosides
1064	659	0.45	0.002	NA	NA	Iridoid O-glycosides
1064	691	0.23	208.075	NA	NA	Iridoid O-glycosides
1064	695	0.29	39.997	NA	NA	Iridoid O-glycosides
1064	710	0.14	58.008	NA	NA	Iridoid O-glycosides
1064	711	0.37	-43.988	NA	NA	Iridoid O-glycosides
1064	715	0.24	188.070	NA	NA	Iridoid O-glycosides
1064	744	0.31	-13.977	NA	NA	Iridoid O-glycosides
1064	749	0.25	310.071	NA	NA	Iridoid O-glycosides
1064	766	0.48	-43.988	NA	NA	Iridoid O-glycosides
1064	804	0.40	-30.008	NA	NA	Iridoid O-glycosides
1064	809	0.21	164.049	NA	NA	Iridoid O-glycosides
1064	835	0.15	164.049	NA	NA	Iridoid O-glycosides
1064	855	0.17	14.018	NA	NA	Iridoid O-glycosides
1064	865	0.39	-4.029	NA	NA	Iridoid O-glycosides
1064	952	0.22	148.018	NA	NA	Iridoid O-glycosides
1064	958	0.24	144.023	NA	NA	Iridoid O-glycosides
1064	962	0.16	12.002	NA	NA	Iridoid O-glycosides
1064	977	0.18	104.028	NA	NA	Iridoid O-glycosides
1064	991	0.23	14.018	NA	NA	Iridoid O-glycosides
1071	1008	0.21	-87.995	NA	NA	Iridoid O-glycosides
1071	1016	0.24	-148.016	NA	NA	Iridoid O-glycosides
1071	1064	0.27	-132.023	NA	NA	Iridoid O-glycosides
1071	233	0.35	-150.032	NA	NA	Iridoid O-glycosides
1071	239	0.13	-90.011	NA	NA	Iridoid O-glycosides
1071	241	0.15	-132.021	NA	NA	Iridoid O-glycosides
1071	277	0.27	-120.057	NA	NA	Iridoid O-glycosides
1071	279	0.25	-152.047	NA	NA	Iridoid O-glycosides
1071	281	0.20	-134.036	NA	NA	Iridoid O-glycosides
1071	292	0.18	-134.036	NA	NA	Iridoid O-glycosides
1071	311	0.21	-134.036	NA	NA	Iridoid O-glycosides
1071	313	0.38	12.021	NA	NA	Iridoid O-glycosides
1071	338	0.23	-82.044	NA	NA	Iridoid O-glycosides
1071	347	0.24	-136.016	NA	NA	Iridoid O-glycosides
1071	388	0.29	-148.027	NA	NA	Iridoid O-glycosides
1071	426	0.29	12.021	NA	NA	Iridoid O-glycosides
1071	435	0.28	12.021	NA	NA	Iridoid O-glycosides
1071	456	0.27	-178.026	NA	NA	Iridoid O-glycosides
1071	461	0.35	2.016	NA	NA	Iridoid O-glycosides
1071	494	0.24	-150.031	NA	NA	Iridoid O-glycosides
1071	495	0.26	-136.016	NA	NA	Iridoid O-glycosides
1071	496	0.23	-148.016	NA	NA	Iridoid O-glycosides
1071	503	0.28	-150.031	NA	NA	Iridoid O-glycosides
1071	506	0.25	-17.989	NA	NA	Iridoid O-glycosides
1071	512	0.35	-118.005	NA	NA	Iridoid O-glycosides
1071	552	0.39	32.026	NA	NA	Iridoid O-glycosides
1071	562	0.31	-36.947	NA	NA	Iridoid O-glycosides
1071	574	0.26	-106.041	NA	NA	Iridoid O-glycosides
1071	577	0.24	72.043	NA	NA	Iridoid O-glycosides
1071	589	0.29	-160.015	NA	NA	Iridoid O-glycosides
1071	592	0.23	-106.005	NA	NA	Iridoid O-glycosides
1071	597	0.24	-90.010	NA	NA	Iridoid O-glycosides
1071	614	0.34	-17.989	NA	NA	Iridoid O-glycosides
1071	624	0.28	-134.036	NA	NA	Iridoid O-glycosides
1071	632	0.23	-120.021	NA	NA	Iridoid O-glycosides
1071	659	0.25	-132.020	NA	NA	Iridoid O-glycosides
1071	691	0.27	76.053	NA	NA	Iridoid O-glycosides
1071	695	0.32	-92.026	NA	NA	Iridoid O-glycosides
1071	710	0.20	-74.015	NA	NA	Iridoid O-glycosides
1071	711	0.18	-176.011	NA	NA	Iridoid O-glycosides
1071	715	0.20	56.047	NA	NA	Iridoid O-glycosides
1071	744	0.17	-146.000	NA	NA	Iridoid O-glycosides
1071	749	0.30	178.048	NA	NA	Iridoid O-glycosides
1071	766	0.25	-176.011	NA	NA	Iridoid O-glycosides
1071	804	0.26	-162.031	NA	NA	Iridoid O-glycosides
1071	809	0.21	32.026	NA	NA	Iridoid O-glycosides
1071	835	0.36	32.026	NA	NA	Iridoid O-glycosides
1071	855	0.18	-118.005	NA	NA	Iridoid O-glycosides
1071	865	0.22	-136.052	NA	NA	Iridoid O-glycosides
1071	952	0.24	15.995	NA	NA	Iridoid O-glycosides
1071	958	0.24	12.000	NA	NA	Iridoid O-glycosides
1071	962	0.24	-120.021	NA	NA	Iridoid O-glycosides
1071	977	0.27	-27.994	NA	NA	Iridoid O-glycosides
1071	991	0.23	-118.005	NA	NA	Iridoid O-glycosides
1095	1008	0.21	34.042	NA	NA	Iridoid O-glycosides
1095	1016	0.19	-25.979	NA	NA	Iridoid O-glycosides
1095	1064	0.24	-9.986	NA	NA	Iridoid O-glycosides
1095	1071	0.41	122.036	NA	NA	Iridoid O-glycosides
1095	233	0.54	-27.995	NA	NA	Iridoid O-glycosides
1095	239	0.14	32.026	NA	NA	Iridoid O-glycosides
1095	241	0.19	-9.984	NA	NA	Iridoid O-glycosides
1095	277	0.22	1.979	NA	NA	Iridoid O-glycosides
1095	279	0.41	-30.010	NA	NA	Iridoid O-glycosides
1095	281	0.24	-12.000	NA	NA	Iridoid O-glycosides
1095	292	0.15	-12.000	NA	NA	Iridoid O-glycosides
1095	311	0.24	-12.000	NA	NA	Iridoid O-glycosides
1095	313	0.29	134.057	NA	NA	Iridoid O-glycosides
1095	338	0.29	39.992	NA	NA	Iridoid O-glycosides
1095	347	0.25	-13.979	NA	NA	Iridoid O-glycosides
1095	388	0.50	-25.990	NA	NA	Iridoid O-glycosides
1095	426	0.33	134.058	NA	NA	Iridoid O-glycosides
1095	435	0.29	134.058	NA	NA	Iridoid O-glycosides
1095	456	0.25	-55.990	NA	NA	Iridoid O-glycosides
1095	461	0.26	124.052	NA	NA	Iridoid O-glycosides
1095	494	0.29	-27.995	NA	NA	Iridoid O-glycosides
1095	495	0.22	-13.980	NA	NA	Iridoid O-glycosides
1095	496	0.31	-25.979	NA	NA	Iridoid O-glycosides
1095	503	0.18	-27.995	NA	NA	Iridoid O-glycosides
1095	506	0.30	104.047	NA	NA	Iridoid O-glycosides
1095	512	0.32	4.031	NA	NA	Iridoid O-glycosides
1095	552	0.26	154.063	NA	NA	Iridoid O-glycosides
1095	562	0.25	85.089	NA	NA	Iridoid O-glycosides
1095	574	0.20	15.995	NA	NA	Iridoid O-glycosides
1095	577	0.25	194.079	NA	NA	Iridoid O-glycosides
1095	589	0.21	-37.979	NA	NA	Iridoid O-glycosides
1095	592	0.32	16.031	NA	NA	Iridoid O-glycosides
1095	597	0.19	32.026	NA	NA	Iridoid O-glycosides
1095	614	0.38	104.047	NA	NA	Iridoid O-glycosides
1095	624	0.30	-12.000	NA	NA	Iridoid O-glycosides
1095	632	0.19	2.016	NA	NA	Iridoid O-glycosides
1095	659	0.22	-9.984	NA	NA	Iridoid O-glycosides
1095	691	0.21	198.089	NA	NA	Iridoid O-glycosides
1095	695	0.23	30.010	NA	NA	Iridoid O-glycosides
1095	710	0.18	48.021	NA	NA	Iridoid O-glycosides
1095	711	0.21	-53.974	NA	NA	Iridoid O-glycosides
1095	715	0.30	178.084	NA	NA	Iridoid O-glycosides
1095	744	0.23	-23.963	NA	NA	Iridoid O-glycosides
1095	749	0.27	300.084	NA	NA	Iridoid O-glycosides
1095	766	0.23	-53.974	NA	NA	Iridoid O-glycosides
1095	804	0.25	-39.995	NA	NA	Iridoid O-glycosides
1095	809	0.23	154.063	NA	NA	Iridoid O-glycosides
1095	835	0.24	154.063	NA	NA	Iridoid O-glycosides
1095	855	0.19	4.031	NA	NA	Iridoid O-glycosides
1095	865	0.26	-14.015	NA	NA	Iridoid O-glycosides
1095	952	0.22	138.032	NA	NA	Iridoid O-glycosides
1095	958	0.30	134.037	NA	NA	Iridoid O-glycosides
1095	962	0.30	2.016	NA	NA	Iridoid O-glycosides
1095	977	0.21	94.042	NA	NA	Iridoid O-glycosides
1095	991	0.20	4.031	NA	NA	Iridoid O-glycosides
1107	1008	0.22	-130.026	NA	NA	Iridoid O-glycosides
1107	1016	0.13	-190.047	NA	NA	Iridoid O-glycosides
1107	1064	0.27	-174.054	NA	NA	Iridoid O-glycosides
1107	1071	0.21	-42.031	NA	NA	Iridoid O-glycosides
1107	1095	0.28	-164.068	NA	NA	Iridoid O-glycosides
1107	233	0.26	-192.063	NA	NA	Iridoid O-glycosides
1107	239	0.32	-132.042	NA	NA	Iridoid O-glycosides
1107	241	0.21	-174.052	NA	NA	Iridoid O-glycosides
1107	277	0.18	-162.088	NA	NA	Iridoid O-glycosides
1107	279	0.29	-194.078	NA	NA	Iridoid O-glycosides
1107	281	0.23	-176.067	NA	NA	Iridoid O-glycosides
1107	292	0.16	-176.067	NA	NA	Iridoid O-glycosides
1107	311	0.20	-176.067	NA	NA	Iridoid O-glycosides
1107	313	0.25	-30.010	NA	NA	Iridoid O-glycosides
1107	338	0.22	-124.076	NA	NA	Iridoid O-glycosides
1107	347	0.23	-178.047	NA	NA	Iridoid O-glycosides
1107	388	0.23	-190.058	NA	NA	Iridoid O-glycosides
1107	426	0.24	-30.010	NA	NA	Iridoid O-glycosides
1107	435	0.21	-30.010	NA	NA	Iridoid O-glycosides
1107	456	0.16	-220.058	NA	NA	Iridoid O-glycosides
1107	461	0.17	-40.016	NA	NA	Iridoid O-glycosides
1107	494	0.29	-192.063	NA	NA	Iridoid O-glycosides
1107	495	0.29	-178.047	NA	NA	Iridoid O-glycosides
1107	496	0.25	-190.047	NA	NA	Iridoid O-glycosides
1107	503	0.15	-192.063	NA	NA	Iridoid O-glycosides
1107	506	0.28	-60.020	NA	NA	Iridoid O-glycosides
1107	512	0.12	-160.037	NA	NA	Iridoid O-glycosides
1107	552	0.19	-10.005	NA	NA	Iridoid O-glycosides
1107	562	0.12	-78.979	NA	NA	Iridoid O-glycosides
1107	574	0.19	-148.073	NA	NA	Iridoid O-glycosides
1107	577	0.33	30.011	NA	NA	Iridoid O-glycosides
1107	589	0.24	-202.047	NA	NA	Iridoid O-glycosides
1107	592	0.17	-148.036	NA	NA	Iridoid O-glycosides
1107	597	0.33	-132.041	NA	NA	Iridoid O-glycosides
1107	614	0.35	-60.020	NA	NA	Iridoid O-glycosides
1107	624	0.21	-176.067	NA	NA	Iridoid O-glycosides
1107	632	0.28	-162.052	NA	NA	Iridoid O-glycosides
1107	659	0.31	-174.052	NA	NA	Iridoid O-glycosides
1107	691	0.24	34.021	NA	NA	Iridoid O-glycosides
1107	695	0.26	-134.057	NA	NA	Iridoid O-glycosides
1107	710	0.16	-116.046	NA	NA	Iridoid O-glycosides
1107	711	0.24	-218.042	NA	NA	Iridoid O-glycosides
1107	715	0.31	14.016	NA	NA	Iridoid O-glycosides
1107	744	0.25	-188.031	NA	NA	Iridoid O-glycosides
1107	749	0.23	136.017	NA	NA	Iridoid O-glycosides
1107	766	0.23	-218.042	NA	NA	Iridoid O-glycosides
1107	804	0.23	-204.062	NA	NA	Iridoid O-glycosides
1107	809	0.27	-10.005	NA	NA	Iridoid O-glycosides
1107	835	0.26	-10.005	NA	NA	Iridoid O-glycosides
1107	855	0.22	-160.036	NA	NA	Iridoid O-glycosides
1107	865	0.19	-178.083	NA	NA	Iridoid O-glycosides
1107	952	0.30	-26.036	NA	NA	Iridoid O-glycosides
1107	958	0.17	-30.031	NA	NA	Iridoid O-glycosides
1107	962	0.27	-162.052	NA	NA	Iridoid O-glycosides
1107	977	0.13	-70.026	NA	NA	Iridoid O-glycosides
1107	991	0.12	-160.036	NA	NA	Iridoid O-glycosides
1108	1008	0.15	-13.980	NA	NA	Iridoid O-glycosides
1108	1016	0.20	-74.001	NA	NA	Iridoid O-glycosides
1108	1064	0.23	-58.008	NA	NA	Iridoid O-glycosides
1108	1071	0.27	74.015	NA	NA	Iridoid O-glycosides
1108	1095	0.22	-48.021	NA	NA	Iridoid O-glycosides
1108	1107	0.13	116.046	NA	NA	Iridoid O-glycosides
1108	233	0.23	-76.017	NA	NA	Iridoid O-glycosides
1108	239	0.18	-15.996	NA	NA	Iridoid O-glycosides
1108	241	0.35	-58.006	NA	NA	Iridoid O-glycosides
1108	277	0.34	-46.042	NA	NA	Iridoid O-glycosides
1108	279	0.26	-78.032	NA	NA	Iridoid O-glycosides
1108	281	0.22	-60.021	NA	NA	Iridoid O-glycosides
1108	292	0.32	-60.021	NA	NA	Iridoid O-glycosides
1108	311	0.23	-60.021	NA	NA	Iridoid O-glycosides
1108	313	0.23	86.036	NA	NA	Iridoid O-glycosides
1108	338	0.21	-8.029	NA	NA	Iridoid O-glycosides
1108	347	0.20	-62.001	NA	NA	Iridoid O-glycosides
1108	388	0.24	-74.012	NA	NA	Iridoid O-glycosides
1108	426	0.20	86.037	NA	NA	Iridoid O-glycosides
1108	435	0.18	86.036	NA	NA	Iridoid O-glycosides
1108	456	0.20	-104.011	NA	NA	Iridoid O-glycosides
1108	461	0.26	76.031	NA	NA	Iridoid O-glycosides
1108	494	0.22	-76.016	NA	NA	Iridoid O-glycosides
1108	495	0.16	-62.001	NA	NA	Iridoid O-glycosides
1108	496	0.21	-74.001	NA	NA	Iridoid O-glycosides
1108	503	0.21	-76.016	NA	NA	Iridoid O-glycosides
1108	506	0.21	56.026	NA	NA	Iridoid O-glycosides
1108	512	0.23	-43.990	NA	NA	Iridoid O-glycosides
1108	552	0.22	106.041	NA	NA	Iridoid O-glycosides
1108	562	0.16	37.068	NA	NA	Iridoid O-glycosides
1108	574	0.33	-32.026	NA	NA	Iridoid O-glycosides
1108	577	0.17	146.058	NA	NA	Iridoid O-glycosides
1108	589	0.17	-86.000	NA	NA	Iridoid O-glycosides
1108	592	0.17	-31.990	NA	NA	Iridoid O-glycosides
1108	614	0.20	56.026	NA	NA	Iridoid O-glycosides
1108	624	0.18	-60.021	NA	NA	Iridoid O-glycosides
1108	632	0.23	-46.006	NA	NA	Iridoid O-glycosides
1108	659	0.23	-58.005	NA	NA	Iridoid O-glycosides
1108	691	0.17	150.068	NA	NA	Iridoid O-glycosides
1108	695	0.38	-18.011	NA	NA	Iridoid O-glycosides
1108	710	0.35	-0.000	NA	NA	Iridoid O-glycosides
1108	711	0.18	-101.996	NA	NA	Iridoid O-glycosides
1108	715	0.21	130.062	NA	NA	Iridoid O-glycosides
1108	744	0.13	-71.985	NA	NA	Iridoid O-glycosides
1108	749	0.20	252.063	NA	NA	Iridoid O-glycosides
1108	766	0.17	-101.996	NA	NA	Iridoid O-glycosides
1108	804	0.19	-88.016	NA	NA	Iridoid O-glycosides
1108	809	0.13	106.041	NA	NA	Iridoid O-glycosides
1108	835	0.17	106.041	NA	NA	Iridoid O-glycosides
1108	855	0.19	-43.990	NA	NA	Iridoid O-glycosides
1108	865	0.26	-62.037	NA	NA	Iridoid O-glycosides
1108	952	0.16	90.010	NA	NA	Iridoid O-glycosides
1108	958	0.20	86.015	NA	NA	Iridoid O-glycosides
1108	962	0.24	-46.006	NA	NA	Iridoid O-glycosides
1108	977	0.22	46.021	NA	NA	Iridoid O-glycosides
1108	991	0.21	-43.990	NA	NA	Iridoid O-glycosides
1111	1016	0.19	-83.985	NA	NA	Iridoid O-glycosides
1111	1064	0.21	-67.992	NA	NA	Iridoid O-glycosides
1111	1071	0.21	64.031	NA	NA	Iridoid O-glycosides
1111	1095	0.11	-58.006	NA	NA	Iridoid O-glycosides
1111	1107	0.18	106.062	NA	NA	Iridoid O-glycosides
1111	1108	0.16	-9.984	NA	NA	Iridoid O-glycosides
1111	233	0.18	-86.001	NA	NA	Iridoid O-glycosides
1111	239	0.13	-25.980	NA	NA	Iridoid O-glycosides
1111	241	0.24	-67.990	NA	NA	Iridoid O-glycosides
1111	277	0.22	-56.026	NA	NA	Iridoid O-glycosides
1111	279	0.15	-88.016	NA	NA	Iridoid O-glycosides
1111	281	0.26	-70.005	NA	NA	Iridoid O-glycosides
1111	292	0.18	-70.005	NA	NA	Iridoid O-glycosides
1111	311	0.26	-70.005	NA	NA	Iridoid O-glycosides
1111	313	0.15	76.052	NA	NA	Iridoid O-glycosides
1111	338	0.19	-18.014	NA	NA	Iridoid O-glycosides
1111	347	0.31	-71.985	NA	NA	Iridoid O-glycosides
1111	388	0.13	-83.996	NA	NA	Iridoid O-glycosides
1111	426	0.15	76.052	NA	NA	Iridoid O-glycosides
1111	435	0.19	76.052	NA	NA	Iridoid O-glycosides
1111	456	0.17	-113.996	NA	NA	Iridoid O-glycosides
1111	461	0.15	66.046	NA	NA	Iridoid O-glycosides
1111	494	0.19	-86.001	NA	NA	Iridoid O-glycosides
1111	495	0.12	-71.985	NA	NA	Iridoid O-glycosides
1111	496	0.16	-83.985	NA	NA	Iridoid O-glycosides
1111	503	0.27	-86.001	NA	NA	Iridoid O-glycosides
1111	506	0.26	46.042	NA	NA	Iridoid O-glycosides
1111	512	0.15	-53.975	NA	NA	Iridoid O-glycosides
1111	552	0.21	96.057	NA	NA	Iridoid O-glycosides
1111	562	0.17	27.083	NA	NA	Iridoid O-glycosides
1111	574	0.19	-42.011	NA	NA	Iridoid O-glycosides
1111	577	0.23	136.073	NA	NA	Iridoid O-glycosides
1111	589	0.16	-95.985	NA	NA	Iridoid O-glycosides
1111	597	0.11	-25.979	NA	NA	Iridoid O-glycosides
1111	614	0.19	46.042	NA	NA	Iridoid O-glycosides
1111	624	0.17	-70.005	NA	NA	Iridoid O-glycosides
1111	632	0.19	-55.990	NA	NA	Iridoid O-glycosides
1111	659	0.20	-67.990	NA	NA	Iridoid O-glycosides
1111	691	0.15	140.083	NA	NA	Iridoid O-glycosides
1111	695	0.24	-27.995	NA	NA	Iridoid O-glycosides
1111	710	0.16	-9.984	NA	NA	Iridoid O-glycosides
1111	711	0.20	-111.980	NA	NA	Iridoid O-glycosides
1111	744	0.16	-81.969	NA	NA	Iridoid O-glycosides
1111	749	0.17	242.079	NA	NA	Iridoid O-glycosides
1111	766	0.19	-111.980	NA	NA	Iridoid O-glycosides
1111	804	0.16	-98.000	NA	NA	Iridoid O-glycosides
1111	809	0.11	96.057	NA	NA	Iridoid O-glycosides
1111	835	0.22	96.057	NA	NA	Iridoid O-glycosides
1111	855	0.17	-53.974	NA	NA	Iridoid O-glycosides
1111	865	0.22	-72.021	NA	NA	Iridoid O-glycosides
1111	952	0.19	80.026	NA	NA	Iridoid O-glycosides
1111	958	0.12	76.031	NA	NA	Iridoid O-glycosides
1111	962	0.19	-55.990	NA	NA	Iridoid O-glycosides
1111	977	0.13	36.036	NA	NA	Iridoid O-glycosides
1111	991	0.13	-53.974	NA	NA	Iridoid O-glycosides
1130	1008	0.15	44.026	NA	NA	Iridoid O-glycosides
1130	1016	0.21	-15.995	NA	NA	Iridoid O-glycosides
1130	1064	0.45	-0.003	NA	NA	Iridoid O-glycosides
1130	1071	0.21	132.020	NA	NA	Iridoid O-glycosides
1130	1095	0.23	9.984	NA	NA	Iridoid O-glycosides
1130	1107	0.21	174.052	NA	NA	Iridoid O-glycosides
1130	1108	0.20	58.005	NA	NA	Iridoid O-glycosides
1130	1111	0.13	67.990	NA	NA	Iridoid O-glycosides
1130	233	0.26	-18.011	NA	NA	Iridoid O-glycosides
1130	241	0.45	-0.000	NA	NA	Iridoid O-glycosides
1130	277	0.27	11.963	NA	NA	Iridoid O-glycosides
1130	279	0.33	-20.027	NA	NA	Iridoid O-glycosides
1130	281	0.32	-2.016	NA	NA	Iridoid O-glycosides
1130	292	0.18	-2.016	NA	NA	Iridoid O-glycosides
1130	311	0.27	-2.016	NA	NA	Iridoid O-glycosides
1130	313	0.23	144.041	NA	NA	Iridoid O-glycosides
1130	338	0.22	49.976	NA	NA	Iridoid O-glycosides
1130	347	0.20	-3.995	NA	NA	Iridoid O-glycosides
1130	388	0.27	-16.006	NA	NA	Iridoid O-glycosides
1130	426	0.29	144.042	NA	NA	Iridoid O-glycosides
1130	435	0.27	144.042	NA	NA	Iridoid O-glycosides
1130	456	0.21	-46.006	NA	NA	Iridoid O-glycosides
