source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1150	1150	1.00	0.000	source:	target:	Carboxylic acid amides
1230	1230	1.00	0.000	source:	target:	Carboxylic acid amides
1370	1370	1.00	0.000	source:	target:	Carboxylic acid amides
1496	1496	1.00	0.000	source:	target:	Carboxylic acid amides
16	16	1.00	0.000	source:	target:	Carboxylic acid amides
1712	1712	1.00	0.000	source:	target:	Carboxylic acid amides
1753	1753	1.00	0.000	source:	target:	Carboxylic acid amides
186	186	1.00	0.000	source:	target:	Carboxylic acid amides
1863	1863	1.00	0.000	source:	target:	Carboxylic acid amides
1879	1879	1.00	0.000	source:	target:	Carboxylic acid amides
1910	1910	1.00	0.000	source:	target:	Carboxylic acid amides
2670	2670	1.00	0.000	source:	target:	Carboxylic acid amides
28	28	1.00	0.000	source:	target:	Carboxylic acid amides
2891	562	0.44	0.000	source:	target:	Carboxylic acid amides
29	29	1.00	0.000	source:	target:	Carboxylic acid amides
3156	3156	1.00	0.000	source:	target:	Carboxylic acid amides
34	34	1.00	0.000	source:	target:	Carboxylic acid amides
3517	3517	1.00	0.000	source:	target:	Carboxylic acid amides
3925	3925	1.00	0.000	source:	target:	Carboxylic acid amides
4773	4773	1.00	0.000	source:	target:	Carboxylic acid amides
747	747	1.00	0.000	source:	target:	Carboxylic acid amides
78	78	1.00	0.000	source:	target:	Carboxylic acid amides
80	80	1.00	0.000	source:	target:	Carboxylic acid amides
931	485	0.49	0.000	source:	target:	Carboxylic acid amides
12	12	1	0	null	null	Carboxylic acid amides
1060	1060	1	0	null	null	Carboxylic acid amides
264	264	1	0	null	null	Carboxylic acid amides
746	746	1	0	null	null	Carboxylic acid amides
975	975	1	0	null	null	Carboxylic acid amides
1471	1471	1	0	null	null	Carboxylic acid amides
1105	1105	1	0	null	null	Carboxylic acid amides
