source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1048	1048	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
1150	1150	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
134	134	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
1496	1496	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
16	16	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
1640	1640	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
1658	1658	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
1808	1808	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
186	186	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
1879	1879	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
193	172	0.74	-0.000	source:	target:5137	Amino acids, peptides, and analogues
20	20	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
2214	2214	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
2670	2670	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
28	28	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
29	29	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
2931	2931	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
2971	2971	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
326	326	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
3282	3282	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
3	3	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
34	34	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
3517	3517	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
3794	3794	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
3925	3925	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
418	418	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
55	55	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
652	652	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
67	67	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
747	747	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
78	78	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
795	795	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
80	80	1.00	0.000	source:	target:	Amino acids, peptides, and analogues
146	146	1	0	null	null	Amino acids, peptides, and analogues
1884	1884	1	0	null	null	Amino acids, peptides, and analogues
1092	1092	1	0	null	null	Amino acids, peptides, and analogues
4653	4653	1	0	null	null	Amino acids, peptides, and analogues
12	12	1	0	null	null	Amino acids, peptides, and analogues
